LocalClinicalCodeValue,ReadCodeValue,hb_extract,SampleName,ArithmeticComparator,Interpretation,QuantityUnit,RangeHighValue,RangeLowValue,RecordCount,QVAverage,QVStandardDev
0061,44s1.,T,Blood,NULL,CARNITINE,NULL,NULL,NULL,9,NULL,NULL
0062,44H8.,T,Blood,NULL,CK ISOENZYMES,NULL,NULL,NULL,17,NULL,NULL
0064,44OC.,T,Blood,NULL,FREE FATTY ACIDS,NULL,NULL,NULL,17,NULL,NULL
0067,44SD.,T,Blood,NULL,HOMOCYSTEINE,NULL,NULL,NULL,229,NULL,NULL
0068,44Wg.,T,Blood,NULL,LAMOTRIGINE,NULL,NULL,NULL,7,NULL,NULL
0070,4Q93.,T,Blood,NULL,NEURONE SPECIFIC ENOLASE,NULL,NULL,NULL,8,NULL,NULL
0072,44uS.,T,Blood,NULL,SIROLIMUS,NULL,NULL,NULL,295,NULL,NULL
0074,4G9..,T,Stone,NULL,URINARY CALCULI,NULL,NULL,NULL,54,NULL,NULL
0075,46TJ.,T,Urine,NULL,URINARY CORTISOL,NULL,NULL,NULL,148,NULL,NULL
0076,46J8.,T,Urine,NULL,URINARY STEROID PROFILE,NULL,NULL,NULL,10,NULL,NULL
0077,44OA.,T,Blood,NULL,VERY LONG CHAIN FATTY ACIDS,NULL,NULL,NULL,18,NULL,NULL
0082,46TH.,T,Urine,NULL,METANEPHRINE,NULL,NULL,NULL,8,NULL,NULL
0087,NULL,T,Blood,NULL,VITAMINS A and E,NULL,NULL,NULL,97,NULL,NULL
0089,NULL,T,Urine,NULL,24HR URINE COPPER EXCRETION,NULL,NULL,NULL,13,NULL,NULL
0090,46TI.,T,Urine,NULL,24HR URINE CITRATE EXCRETION,NULL,NULL,NULL,25,NULL,NULL
0091,NULL,T,Blood,NULL,GUT HORMONES,NULL,NULL,NULL,31,NULL,NULL
0091,NULL,T,Blood,NULL,VASOACTIVE INTEST.POLYPEPTIDE,NULL,NULL,NULL,27,NULL,NULL
0095,NULL,T,Blood,NULL,PANCREATIC POLYPEPTIDE,NULL,NULL,NULL,27,NULL,NULL
0096,NULL,T,Blood,NULL,GASTRIN,NULL,NULL,NULL,27,NULL,NULL
0097,NULL,T,Blood,NULL,GLUCAGON,NULL,NULL,NULL,30,NULL,NULL
0098,NULL,T,Blood,NULL,SOMATOSTATIN,NULL,NULL,NULL,27,NULL,NULL
0099,NULL,T,Blood,NULL,CHROMOGRANIN A,NULL,NULL,NULL,36,NULL,NULL
0100,NULL,T,Blood,NULL,CHROMOGRANIN B,NULL,NULL,NULL,27,NULL,NULL
0102,NULL,T,Blood,NULL,PLASMA METANEPHRINES,NULL,NULL,NULL,13,NULL,NULL
0104,NULL,T,Blood,NULL,IGA DEFICIENCY TEST,NULL,NULL,NULL,42,NULL,NULL
0105,NULL,T,Blood,NULL,VITAMIN K,NULL,NULL,NULL,6,NULL,NULL
0107,NULL,T,Blood,NULL,TACROLIMUS,NULL,NULL,NULL,570,NULL,NULL
0110,NULL,T,Blood,NULL,SALIVARY CORTISOL,NULL,NULL,NULL,29,NULL,NULL
125C,44a6.,F,Serum,NULL,NULL,U/mL,35,0,1321,156.228614685844,1166.20652082334
125C,44a6.,F,Serum,NULL,NULL,kU/L,35,0,796,111.78391959799,427.423259262649
125C_F,44a1.,F,Serum,NULL,NULL,U/mL,30,0,384,18.0052083333333,24.1763532476126
125D,44p..,T,Blood,NULL,NULL,pmol/L,NULL,NULL,8,144.375,58.1032025180811
17AP,448n.,T,Blood,NULL,NULL,nmol/L,13.0,0,109,43.9201834415077,126.926347648997
17AP,448n.,T,Blood,>,NULL,nmol/L,13.0,0,7,151.5,0
17AP,NULL,T,Blood,NULL,NULL,NULL,NULL,NULL,254,9.29879518072289,39.8311410447862
17AP,NULL,T,Blood,NULL,3.0 nmol/L ( 0.0-12.0_) External Lab GRI_,NULL,NULL,NULL,9,3,0
17AP,448n.,T,Blood,NULL,NULL,nmol/L,5.9,0,62,6.79354838017494,13.8854785674089
17AP,448n.,T,Blood,>,NULL,nmol/L,5.9,0,7,151.5,0
1GLU,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,9,14.3666666666667,11.381673866352
24HP,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,98,0.875918367346939,1.49119327899815
2GLU,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,163,9.17852760736196,4.90812808262659
2TAC,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,299,10.6576923076923,7.38895289139868
2UGL      ,NULL,T,Urine,NULL,NULL,NULL,NULL,NULL,9,1,0.707106781186548
3mt,4Q2g0,T,Whole blood EDTA,<,NULL,pmol/L,NULL,NULL,56,154.285714285714,37.7001154016629
3mt,4Q2g0,T,Whole blood EDTA,NULL,NOT AVAILABLE,NULL,NULL,NULL,13,NULL,NULL
41D,FS,T,Blood,NULL,(FASTING),NULL,NULL,NULL,102,NULL,NULL
5HEX      ,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,67,44.865671641791,21.6052010589959
5HIA,NULL,T,Urine,NULL,NULL,NULL,NULL,NULL,643,24.9424572317263,120.0056027438
5HIA,NULL,T,Urine,NULL,NS,NULL,NULL,NULL,6,NULL,NULL
5HIA,44p4.,T,Urine,NULL,NOT AVAILABLE,NULL,NULL,NULL,17,NULL,NULL
5HIA,44p4.,T,Urine,NULL,NULL,umol/L,NULL,NULL,877,26.8289623717218,75.4342855956659
5HIA,NULL,T,Urine,NULL,US,NULL,NULL,NULL,22,NULL,NULL
5HIA,44p4.,T,Urine,NULL,UNSUITABLE FOR ANALYSIS.,NULL,NULL,NULL,19,NULL,NULL
5HIA,46T9.,T,Urine,NULL,UNSUITABLE FOR ANALYSIS.,NULL,NULL,NULL,7,NULL,NULL
5HIA,46T9.,T,Urine,NULL,NULL,umol/L,NULL,NULL,306,16.0980392156863,10.9740467039626
5HIA _F,46T9.,F,Urine,NULL,NULL,umol/L,NULL,NULL,28,28.8357144423894,11.9090137724916
5HIAA     ,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,367,40.1471389645777,48.370215469071
6AM,NULL,F,Urine,NULL,Negative ( < 10ng/mL ),NULL,NULL,NULL,41,NULL,NULL
6AM,NULL,F,Urine,NULL,Positive ( > 10ng/mL ),NULL,NULL,NULL,37,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Negative ( <10ng/mL ),NULL,NULL,NULL,15,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Positive,NULL,NULL,NULL,1334,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Positive ( >10ng/ml ),NULL,NULL,NULL,16,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Regret test not currently available.,NULL,NULL,NULL,15,NULL,NULL
6AM,46Qd.,F,Urine,NULL,See text below,NULL,NULL,NULL,129,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Insufficient sample,NULL,NULL,NULL,37,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Insufficient specimen to confirm positive screen.,NULL,NULL,NULL,20,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Negative,NULL,NULL,NULL,2083,NULL,NULL
6AM,46Qd.,F,Urine,NULL,Regret analyser failure.,NULL,NULL,NULL,15,NULL,NULL
6AM,46Qd.,F,Urine,NULL,SEE LAB COMMENT,NULL,NULL,NULL,7,NULL,NULL
6AM_F,46Qd.,F,Urine,NULL,Negative,NULL,NULL,NULL,78,NULL,NULL
6AM_F,46Qd.,F,Urine,NULL,Positive ( > 10ng/mL ),NULL,NULL,NULL,346,NULL,NULL
6AM_F,46Qd.,F,Urine,NULL,>10mg/mL,NULL,NULL,NULL,6,NULL,NULL
6AM_F,46Qd.,F,Urine,NULL,Negative ( < 10ng/mL ),NULL,NULL,NULL,235,NULL,NULL
6AM_F,46Qd.,F,Urine,NULL,Negative ( <10ng/mL ),NULL,NULL,NULL,16,NULL,NULL
6AM_F,46Qd.,F,Urine,NULL,Positive,NULL,NULL,NULL,141,NULL,NULL
6AM_F,46Qd.,F,Urine,NULL,Positive ( >10ng/ml ),NULL,NULL,NULL,27,NULL,NULL
6MMP,44uo0,F,Blood,NULL,NULL,pmol/8x10^8 RBC's,NULL,NULL,10,2568.5,4479.22263220851
6MMP,44uo0,T,Whole blood EDTA,NULL,NULL,pmol/8x10^8 Cells,5700,0,7,1464,2951.71678858254
6TGN,44p..,T,Whole blood EDTA,NULL,NULL,pmol/8x10^8 Cells,450,235,7,480.571428571429,79.062964660784
6TGN,44un0,F,Blood,NULL,NULL,pmol/8x10^8 RBC's,NULL,NULL,10,499.9,193.811735684114
7AC,44D7,F,Serum,NULL,Insufficient sample,NULL,NULL,NULL,13,NULL,NULL
7AC,44D7,F,Serum,NULL,NULL,ng/mL,22,3,372,22.5860215053763,31.7188732457188
7AC,44D7,F,Serum,NULL,See text below,NULL,NULL,NULL,12,NULL,NULL
?DEL      ,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,7,11.5428571428571,5.46438686492124
A1,NULL,F,Serum,NULL,See text below,NULL,NULL,NULL,26,NULL,NULL
A1,NULL,F,Serum,NULL,NULL,g/L,2.5,1,35,2.59142855916704,0.440168034257718
A1,NULL,F,Serum,NULL,NULL,g/L,2.5,1.0,99,2.42929292688466,0.487235540883132
A2,NULL,F,Serum,NULL,NULL,g/L,9.9,5.2,134,7.59104482451482,1.32548547830264
A2,NULL,F,Serum,NULL,See text below,NULL,NULL,NULL,26,NULL,NULL
AAC       ,44IC.,T,Serum,NULL,NULL,NULL,NULL,NULL,3900,2.3438076923077,0.132598427991194
AACR,43Ge.,F,Serum,NULL,<0.1,NULL,NULL,NULL,19,NULL,NULL
AACR,43Ge.,F,Serum,NULL,NULL,nmol/L,0.09,0.0,6,6.10833342249195,5.9790314014722
AACR,43Ge.,F,Serum,NULL,NULL,nmol/L,0.5,0.0,99,3.00424242862547,5.03947157487104
AACR,43Ge.,F,Serum,<,NULL,nmol/L,0.5,0.0,78,0.100000000439393,4.1595885622433E-09
AALB      ,44M4.,T,Serum,NULL,NULL,NULL,NULL,NULL,10233,40.7487540310759,5.096728996468
AALKP     ,44F..,T,Serum,NULL,NULL,NULL,NULL,NULL,10108,76.1499802136921,54.9953672190048
AALT      ,44G3.,T,Serum,NULL,NULL,NULL,NULL,NULL,9536,35.7470637583893,213.750670960111
AAMS      ,44CN.,T,Serum,NULL,NULL,NULL,NULL,NULL,524,133.959923664122,311.733431983863
AAN,44C6.,F,Serum,NULL,Insufficient sample,NULL,NULL,NULL,6,NULL,NULL
AAN,44C6.,F,Serum,NULL,NULL,g/L,2.1,1.1,762,1.71691601029218,0.471624885276
AAN,44C6.,F,Serum,NULL,NULL,g/L,2.0,0.9,30,1.67633333333333,0.477244124136682
AAST      ,44HB.,T,Serum,NULL,NULL,NULL,NULL,NULL,97,21.8350515463918,8.84670420313305
AB,44h3.,T,Arterial Blood,NULL,NULL,NULL,NULL,NULL,4957,23.8452043707001,5.2080880956197
AB,44h3.,T,Arterial Blood,NULL,INS,NULL,NULL,NULL,21,NULL,NULL
AB,44h3.,T,Arterial Blood,NULL,US,NULL,NULL,NULL,63,NULL,NULL
AB,44h3.,T,Blood,NULL,UNSUITABLE FOR ANALYSIS.,NULL,NULL,NULL,9,NULL,NULL
AB,44h3.,T,Arterial Blood,NULL,NR,NULL,NULL,NULL,11,NULL,NULL
AB,44h3.,T,Blood,NULL,NULL,mmol/L,30,22,138,24.2536231884058,6.43673489587309
ABIC      ,44h3.,T,Arterial Blood,NULL,NULL,NULL,NULL,NULL,603,24.6749585406302,4.16764389128804
ABIL      ,44EC.,T,Serum,NULL,NULL,NULL,NULL,NULL,9357,9.38666239179224,11.5023979109881
ACAL      ,44I8.,T,Serum,NULL,NULL,NULL,NULL,NULL,5703,2.26403997895845,0.178211780188115
ACE,44CH.,F,Serum,NULL,NULL,U/L,65,8,28,38.8571428571429,18.0999576134439
ACE,44CH.,F,Serum,NULL,NULL,U/L,70,20,453,54.8256070640177,28.5036569210305
ACE,44CH.,F,Serum,NULL,NULL,U/L,63,16,200,56.055,33.9214578328753
ACE,44CH.,F,Serum,<,NULL,U/L,63,16,17,12,0
ACE,44CH.,F,Serum,<,NULL,U/L,70,20,34,12,0
ACHL      ,44I6.,T,Serum,NULL,NULL,NULL,NULL,NULL,445,98.961797752809,5.17146331291652
ACHOL     ,44P..,T,Serum,NULL,NULL,NULL,NULL,NULL,4876,6.3365832649713,1.43545311185951
ACK       ,44HG.,T,Serum,NULL,NULL,NULL,NULL,NULL,1675,196.164179104478,563.731788337368
ACKMBCOM  ,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,57,409.017543859649,3088.01473726144
ACKMBN    ,44HL.,T,Serum,NULL,NULL,NULL,NULL,NULL,61,43.9672131147541,50.7667762790833
ACKMBP    ,44HL.,T,Serum,NULL,NULL,NULL,NULL,NULL,60,7.75,5.52843190444035
ACOR      ,44IC.,T,Serum,NULL,NULL,NULL,NULL,NULL,5693,2.26270683295274,0.162796401233322
ACRE      ,44J3.,T,Serum,NULL,NULL,NULL,NULL,NULL,13896,136.320164075993,167.571684636473
ACT BIC   ,44h3.,T,Arterial Blood,NULL,NULL,NULL,NULL,NULL,643,24.144634525661,6.6320224039763
ACTBIC    ,44h3.,T,Arterial Blood,NULL,NULL,NULL,NULL,NULL,669,22.4424514200299,5.45298830061952
ACTH,NULL,T,Blood,NULL,NULL,NULL,NULL,NULL,364,95.2645429362881,176.982900823071
ACTH,NULL,T,Blood,NULL,NS,NULL,NULL,NULL,7,NULL,NULL
ACTH,NULL,T,Blood,NULL,US,NULL,NULL,NULL,8,NULL,NULL
ACTH,4483.,T,Blood,NULL,LT5,NULL,NULL,NULL,7,NULL,NULL
ACTH,4483.,T,Blood,NULL,LT5.00,NULL,NULL,NULL,8,NULL,NULL
ACTH,4483.,T,Blood,NULL,NO SAMPLE RECEIVED.,NULL,NULL,NULL,12,NULL,NULL
ACTH,4483.,T,Spun EDTA,NULL,NOT AVAILABLE,NULL,NULL,NULL,7,NULL,NULL
ACTH,4483.,T,Spun EDTA,NULL,SEE LABORATORY COMMENT,NULL,NULL,NULL,23,NULL,NULL
ACTH,4483.,T,Spun EDTA,NULL,UNSUITABLE FOR ANALYSIS.,NULL,NULL,NULL,19,NULL,NULL
ACTH,4483.,T,Spun EDTA,<,NULL,ng/L,52,9,50,4.9010000000149,0.700035713269312
ACTH,448r.,F,Serum,NULL,<1,NULL,NULL,NULL,6,NULL,NULL
ACTH,NULL,T,Blood,NULL,ACTHL,NULL,NULL,NULL,24,NULL,NULL
ACTH,NULL,T,Blood,<,LT10,NULL,NULL,NULL,18,NULL,NULL
ACTH,4483.,T,Blood,NULL,NULL,ng/L,52,9,94,47.9148936170213,120.459484071105
ACTH,4483.,T,Blood,<,NULL,ng/L,52,9,10,5,0
ACTH,4483.,T,Spun EDTA,NULL,LT5.00,NULL,NULL,NULL,8,NULL,NULL
ACTH,4483.,T,Spun EDTA,NULL,NO SAMPLE RECEIVED.,NULL,NULL,NULL,7,NULL,NULL
ACTH,4483.,T,Spun EDTA,NULL,NULL,ng/L,52,9,283,60.2014134275618,155.892733618852
ACTH,448r.,F,Plasma,NULL,NULL,mU/L,20,2,7,10.1428571428571,9.88986975695453
ACTH,448r.,F,Serum,NULL,NULL,mU/L,20,2,7,4.57142857142857,3.69039938476144
ADH,NULL,T,Blood,NULL,NULL,NULL,NULL,NULL,10,2.75,1.2747548783982
ADR       ,NULL,T,Blood,NULL,NULL,NULL,NULL,NULL,409,37.1601704545455,170.020452406286
AFAFP     ,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,78,11.1846153846154,6.82192943958828
AFP,44B..,F,Serum,NULL,Insufficient sample,NULL,NULL,NULL,7,NULL,NULL
AFP,44B..,F,Serum,NULL,NULL,kU/L,10,0,1386,5.1002886002886,11.1186271613338
AFP,44B..,F,Serum,<,NULL,kU/L,10,0,108,1,0
AFP,44B..,F,Serum,NULL,NULL,kU/L,5.8,0,886,45.1015801354402,535.13213200981
AFP,44B..,F,Serum,<,NULL,kU/L,5.8,0,57,1,0
AFP,44B..,F,Serum,<,NULL,kU/L,6.0,0,14,1,0
AFP,44B..,T,Blood,NULL,INSUFFICIENT SAMPLE FOR ANALYSIS.,NULL,NULL,NULL,10,NULL,NULL
AFP,44B..,T,Blood,NULL,UNSUITABLE FOR ANALYSIS.,NULL,NULL,NULL,6,NULL,NULL
AFP,44B..,T,Blood,NULL,NULL,kU/L,7,NULL,2021,333.06976744186,7587.05431415396
AFP,44B..,T,Blood,NULL,NULL,kU/L,7,0,3485,546.368149210904,14894.5864259224
AFP,44B..,T,Blood,<,NULL,kU/L,7,0,678,1.00221238902888,0.0256864767348544
AFP,44B..,T,Serum,NULL,1 kU/L ( up to 7 ),NULL,NULL,NULL,11,1,0
AFP,44B..,T,Serum,NULL,3 kU/L ( up to 7 ),NULL,NULL,NULL,37,3,0
AFP,44B..,T,Serum,NULL,5 kU/L ( up to 7 ),NULL,NULL,NULL,11,5,0
AFP,44B..,T,Serum,<,LT1 kU/L ( up to 7 ),NULL,NULL,NULL,44,NULL,NULL
AFP,44B..,T,Serum,<,LT1 kU/L (non-preg. <7),NULL,NULL,NULL,7,NULL,NULL
AFP,44B..,F,Serum,NULL,NULL,kU/L,6.0,0,550,5.41090909090909,18.4576083278137
AFP,44B..,T,Blood,NULL,NO SAMPLE RECEIVED.,NULL,NULL,NULL,6,NULL,NULL
AFP,44B..,T,Blood,NULL,NULL,kU/L,NULL,NULL,34,2.41176470588235,2.1050825515926
AFP       ,44B..,T,Serum,NULL,NULL,NULL,NULL,NULL,9267,40.6278191431963,617.073801895335
AFP,44B..,T,Serum,NULL,2 kU/L ( up to 7 ),NULL,NULL,NULL,34,2,0
AFP,44B..,T,Serum,NULL,4 kU/L ( up to 7 ),NULL,NULL,NULL,31,4,0
AFP,44B..,T,Serum,NULL,6 kU/L ( up to 7 ),NULL,NULL,NULL,9,6,0
AGGT      ,44G9.,T,Serum,NULL,NULL,NULL,NULL,NULL,3022,64.8557246856386,134.585714313125
AGLU      ,44f..,T,Serum,NULL,NULL,NULL,NULL,NULL,5199,8.27526447393729,4.83313557662012
AHDLC     ,44P5.,T,Serum,NULL,NULL,NULL,NULL,NULL,2818,1.21432221433641,0.379474982223157
AHDLC_1,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,342,14.2923976608187,10.0352399942251
AHDLPCT   ,44P5.,T,Serum,NULL,NULL,NULL,NULL,NULL,2818,19.0940383250532,7.15084391066316
AIRON     ,NULL,T,Unknown,NULL,NULL,NULL,NULL,NULL,251,13.3346613545817,8.39759214208815
AKI,451L.,F,Serum,NULL,Not detected,NULL,NULL,NULL,35594,NULL,NULL
AKI,451L.,T,Blood,NULL,AKI2,NULL,NULL,NULL,3053,NULL,NULL
AKI,451L.,T,Blood,NULL,AKI3,NULL,NULL,NULL,2692,NULL,NULL
AKI,451L.,T,Blood,NULL,INSUFFICIENT SAMPLE FOR ANALYSIS.,NULL,NULL,NULL,20,NULL,NULL
AKI,451L.,T,Blood,NULL,NO SST (GOLD TOP) SAMPLE RECEIVED,NULL,NULL,NULL,73,NULL,NULL
AKI,451L.,T,Blood,NULL,NOT AVAILABLE,NULL,NULL,NULL,2726,NULL,NULL
AKI,451L.,T,Blood,NULL,RESULT REMOVED BY LABORATORY,NULL,NULL,NULL,10,NULL,NULL
AKI,451L.,T,Blood,NULL,SAMPLE LEAKED IN TRANSIT,NULL,NULL,NULL,8,NULL,NULL
AKI,NULL,T,Blood,NULL,AKI1,NULL,NULL,NULL,21,NULL,NULL
AKI,NULL,T,Blood,NULL,AKI3,NULL,NULL,NULL,8,NULL,NULL
AKI,NULL,T,Blood,NULL,NOT AVAILABLE,NULL,NULL,NULL,1079,NULL,NULL
AKI,451L.,F,Serum,NULL,AKI1,NULL,NULL,NULL,724,NULL,NULL
AKI,451L.,F,Serum,NULL,AKI2,NULL,NULL,NULL,203,NULL,NULL
AKI,451L.,F,Serum,NULL,AKI3,NULL,NULL,NULL,205,NULL,NULL
AKI,451L.,F,Serum,NULL,Unable to calculate,NULL,NULL,NULL,5232,NULL,NULL
AKI,451L.,T,Blood,NULL,AKI1,NULL,NULL,NULL,11026,NULL,NULL
AKI,451L.,T,Blood,NULL,NO SAMPLE RECEIVED.,NULL,NULL,NULL,84,NULL,NULL
AKI,451L.,T,Blood,NULL,NOT DETECTED,NULL,NULL,NULL,20773,NULL,NULL
AKI,451L.,T,Blood,NULL,Not detected: but may not exclude AKI in all cases,NULL,NULL,NULL,429713,NULL,NULL
AKI,451L.,T,Blood,NULL,UNSUITABLE FOR ANALYSIS.,NULL,NULL,NULL,106,NULL,NULL
AL,NULL,F,Serum,NULL,No clotted sample received.,NULL,NULL,NULL,9,NULL,NULL
AL,NULL,F,Serum,NULL,Sample haemolysed- unsuitable for analysis,NULL,NULL,NULL,50,NULL,NULL
AL,NULL,F,Serum,NULL,Sample turbid- unsuitable for analysis,NULL,NULL,NULL,17,NULL,NULL
AL,44LE.,T,Blood,NULL,NO SAMPLE RECEIVED.,NULL,NULL,NULL,6,NULL,NULL
AL,44LE.,T,Blood,NULL,NULL,umol/L,0.50,0,298,0.232885909670551,0.257923058170488
AL,44LE.,T,Serum,NULL,0.2 umol/L ( 0.0-0.50_) External Lab GRI_,NULL,NULL,NULL,9,0.2,4.56253018748607E-09
AL,44LE.,T,Serum,<,LT0.1,NULL,NULL,NULL,19,NULL,NULL
AL,44M4.,F,Serum,NULL,Insufficient sample,NULL,NULL,NULL,69,NULL,NULL
AL,44M4.,F,Serum,NULL,Sample not from this patient,NULL,NULL,NULL,39,NULL,NULL
AL,44M4.,F,Serum,NULL,Sample turbid- unsuitable for analysis,NULL,NULL,NULL,88,NULL,NULL
AL,44M4.,F,Serum,NULL,Sample unsuitable,NULL,NULL,NULL,8,NULL,NULL
AL,44M4.,F,Serum,NULL,Sample unsuitable. ? Taken from drip arm.,NULL,NULL,NULL,11,NULL,NULL
AL,44M4.,F,Serum,NULL,See text below,NULL,NULL,NULL,34,NULL,NULL
AL,44M4.,F,Serum,NULL,Specimen leaked in transit - rejected,NULL,NULL,NULL,8,NULL,NULL
AL,44M4.,F,Serum,NULL,Specimen too old for accurate analysis,NULL,NULL,NULL,17,NULL,NULL
AL,44M4.,F,Serum,NULL,Specimen unlabelled - rejected,NULL,NULL,NULL,145,NULL,NULL
AL,44M4.,F,Serum,NULL,Specimen without min data set - rejected,NULL,NULL,NULL,10,NULL,NULL
AL,44M4.,F,Serum,NULL,NULL,g/L,50,30,97,46.0309278350516,3.09048812301357
AL,44M4.,F,Serum,NULL,NULL,g/L,50,35,176591,41.855966612115,5.51113319645951
AL,44M4.,F,Serum,NULL,NULL,g/L,50,38,282456,41.5730591667375,4.26546912679738
AL,NULL,F,Serum,NULL,NULL,g/L,50,38,8212,41.5273989283975,3.01716025882216
AL,44LE.,T,Blood,NULL,INAPPROPRIATE REQUEST.,NULL,NULL,NULL,29,NULL,NULL
AL,44LE.,T,Blood,NULL,NOT AVAILABLE,NULL,NULL,NULL,33,NULL,NULL
AL,44LE.,T,Blood,<,NULL,umol/L,0.50,0,215,0.10000000143467,0
AL,44LE.,T,Serum,NULL,NULL,NULL,NULL,NULL,148,0.560135135135135,0.661141032312672
AL,44M4.,F,Serum,NULL,Contaminated by leaking sample - rejected,NULL,NULL,NULL,50,NULL,NULL
AL,44M4.,F,Serum,NULL,Data on sample & form incompatible - rejected,NULL,NULL,NULL,35,NULL,NULL
AL,44M4.,F,Serum,NULL,Form without min data set - rejected,NULL,NULL,NULL,9,NULL,NULL
AL,44M4.,F,Serum,NULL,No clotted sample received.,NULL,NULL,NULL,485,NULL,NULL
AL,44M4.,F,Serum,NULL,No specimen received,NULL,NULL,NULL,110,NULL,NULL
AL,44M4.,F,Serum,NULL,Not Tested,NULL,NULL,NULL,56,NULL,NULL
AL,44M4.,F,Serum,NULL,Sample clotted,NULL,NULL,NULL,7,NULL,NULL
AL,44M4.,F,Serum,NULL,Sample haemolysed- unsuitable for analysis,NULL,NULL,NULL,5405,NULL,NULL
