TestCode,CountAppearances,AverageMonthAppearing,StandardDeviationMonthAppearing,ColumnAppearingIn
-6235,464,1034,46.9588105422195,MAIN_CONDITION
M312,7,1268,3.33809184156519,MAIN_CONDITION
A4100,57,1297,11.639074065956,MAIN_CONDITION
K838,1427,1292,66.501804848962,MAIN_CONDITION
D172,1599,1289,79.9642949473737,MAIN_CONDITION
C917,8,1224,49.1113894267773,MAIN_CONDITION
Z279,6,1372,58.2148320161348,MAIN_CONDITION
C962,95,1334,20.2808831593831,MAIN_CONDITION
C931,412,1398,29.8271727710445,MAIN_CONDITION
-9729,21,1057,57.7352743542623,MAIN_CONDITION
B371 D,48,1319,72.1942808288667,MAIN_CONDITION
I351,946,1305,79.6031455092711,MAIN_CONDITION
A084,10928,1306,74.5355180218625,MAIN_CONDITION
-9059,43,1016,37.8908790527894,MAIN_CONDITION
-72703,74,1089,45.7971801585827,MAIN_CONDITION
Q665,17,1362,44.5670347705026,MAIN_CONDITION
E880,135,1301,84.2487616639051,MAIN_CONDITION
T452,62,1277,84.3037744597139,MAIN_CONDITION
S520,291,1269,62.1943620090974,MAIN_CONDITION
S6231,73,1282,87.681557670673,MAIN_CONDITION
B029,884,1309,78.7159331090022,MAIN_CONDITION
T844,194,1305,75.7312890390918,MAIN_CONDITION
J81X,3357,1315,71.3056691508977,MAIN_CONDITION
K20X,6651,1249,73.4915960282852,MAIN_CONDITION
M7974,24,1415,7.57845439483545,MAIN_CONDITION
C040,119,1300,67.4360110165621,MAIN_CONDITION
M2453,15,1304,82.8850035261134,MAIN_CONDITION
Q613,216,1331,77.7579273303026,MAIN_CONDITION
T66X,57,1256,67.6787663416949,MAIN_CONDITION
S929,31,1286,70.9905794143933,MAIN_CONDITION
I252,408,1308,76.8055069557708,MAIN_CONDITION
I330,1494,1322,75.3366366724688,MAIN_CONDITION
-5284,40,1055,49.7179158236364,MAIN_CONDITION
N363,37,1257,58.2004922427401,MAIN_CONDITION
E833,62,1363,55.1009265801837,MAIN_CONDITION
M8437,10,1326,60.3964678878947,MAIN_CONDITION
-5253,221,1058,61.5885452816811,MAIN_CONDITION
R232,54,1310,81.6953421610897,MAIN_CONDITION
I424,12,1320,81.8495941383106,MAIN_CONDITION
M0630,16,1322,82.3366058728842,MAIN_CONDITION
T099,57,1284,70.0702431309554,MAIN_CONDITION
C519,869,1300,74.6058122415925,MAIN_CONDITION
-5331,14,1040,31.2603389490391,MAIN_CONDITION
J351,670,1310,73.2429341225482,MAIN_CONDITION
-6161,352,1055,46.6270414484683,MAIN_CONDITION
-4809,74,1055,56.1395181816346,MAIN_CONDITION
E212,20,1330,72.1685891725599,MAIN_CONDITION
H590,15,1354,64.7638199996912,MAIN_CONDITION
Q393,18,1216,81.8917865593513,MAIN_CONDITION
K745 D,24,1336,82.6794052831243,MAIN_CONDITION
A86X,363,1323,68.0234886927021,MAIN_CONDITION
E162,3473,1306,77.666684011526,MAIN_CONDITION
-8932,7,1033,47.017220756007,MAIN_CONDITION
I888,22,1333,70.4176163515965,MAIN_CONDITION
M4642,46,1380,57.0433854718215,MAIN_CONDITION
M755,103,1325,65.9889822876665,MAIN_CONDITION
K115,431,1287,75.2676155693029,MAIN_CONDITION
N895,145,1328,71.1922293856873,MAIN_CONDITION
-7842,171,1049,52.7129266079858,MAIN_CONDITION
-74731,23,1132,34.7688584481368,MAIN_CONDITION
G609,10,1319,65.8891324709744,MAIN_CONDITION
-72964,56,1074,39.7077595544146,MAIN_CONDITION
D260,73,1285,87.5663218971404,MAIN_CONDITION
M5495,42,1336,78.5577493107524,MAIN_CONDITION
C946,72,1423,5.00703730116036,MAIN_CONDITION
M4784,8,1295,114.086433399043,MAIN_CONDITION
M8797,37,1323,81.9898825516961,MAIN_CONDITION
N828,28,1285,83.6874618437036,MAIN_CONDITION
-7422,18,1082,30.9325642230282,MAIN_CONDITION
A498,599,1370,47.780186540787,MAIN_CONDITION
L910,700,1288,73.2409201263356,MAIN_CONDITION
L235,8,1244,52.7737759552169,MAIN_CONDITION
I2280,36,1349,6.58762668924111,MAIN_CONDITION
M1395,109,1278,77.0754800804356,MAIN_CONDITION
F1006,10,1317,37.9010407362215,MAIN_CONDITION
G114,29,1326,71.9718575268278,MAIN_CONDITION
-6040,27,1078,49.3542921522146,MAIN_CONDITION
H46X,165,1318,80.4192511140303,MAIN_CONDITION
M1911,21,1283,70.6473468648877,MAIN_CONDITION
N738,15,1271,92.1421262429478,MAIN_CONDITION
I078,30,1343,69.8322785424964,MAIN_CONDITION
Z119,12,1352,77.9094268229391,MAIN_CONDITION
-7528,53,1089,34.0816700327412,MAIN_CONDITION
-6221,709,1070,40.1120561244178,MAIN_CONDITION
K649,576,1412,9.79131020011023,MAIN_CONDITION
H654,1061,1285,78.1444753265429,MAIN_CONDITION
-28099,354,1007,26.0684943213914,MAIN_CONDITION
-8660,162,1072,51.6456731394013,MAIN_CONDITION
M4629,6,1244,103.821802463003,MAIN_CONDITION
N848,13,1267,45.8163838123547,MAIN_CONDITION
-73028,7,1078,53.9302901019104,MAIN_CONDITION
-25001,316,1076,58.6998943520854,MAIN_CONDITION
-7811,8,1096,39.9383453409305,MAIN_CONDITION
-5988,32,1098,48.899079333638,MAIN_CONDITION
M6584,41,1267,78.6098113407245,MAIN_CONDITION
C710 D,17,1354,61.3739142709768,MAIN_CONDITION
-4598,79,1073,41.6047771456269,MAIN_CONDITION
S090,158,1245,73.1578641511382,MAIN_CONDITION
I5019,1207,1396,18.9503523459476,MAIN_CONDITION
M5413,7,1324,74.761525628399,MAIN_CONDITION
M2445,301,1241,61.1365416264086,MAIN_CONDITION
D539,279,1288,79.6683168882994,MAIN_CONDITION
-3352,329,1065,56.2000371595659,MAIN_CONDITION
-28489,21,1003,18.9673905628038,MAIN_CONDITION
-6245,18,1058,58.5222431317911,MAIN_CONDITION
-8190,18,1067,42.5010572725073,MAIN_CONDITION
K717,8,1309,61.0807428152044,MAIN_CONDITION
-2679,9,1025,51.3666017736988,MAIN_CONDITION
M6295,16,1324,71.8438120740634,MAIN_CONDITION
C5091,149,1409,11.8476214739836,MAIN_CONDITION
M8738,6,1345,68.368608781127,MAIN_CONDITION
B351,18,1300,75.5660123482914,MAIN_CONDITION
F445,53,1375,56.4614771634893,MAIN_CONDITION
S0221,22,1247,72.248683686088,MAIN_CONDITION
M0691,188,1243,64.8282966315339,MAIN_CONDITION
I272,254,1399,19.1317401716543,MAIN_CONDITION
N905,45,1309,74.6700283334161,MAIN_CONDITION
G471,16,1328,56.7291812033278,MAIN_CONDITION
-9559,9,1025,71.1327007157117,MAIN_CONDITION
-9635,29,1062,55.0710691751896,MAIN_CONDITION
-2273,133,1072,55.9405799473735,MAIN_CONDITION
I238,10,1293,72.8881182208577,MAIN_CONDITION
-4781,2965,1051,46.6025405695054,MAIN_CONDITION
M2448,28,1268,62.8285965121172,MAIN_CONDITION
M419,36,1256,70.6817313232857,MAIN_CONDITION
Q703,19,1314,62.4215531078625,MAIN_CONDITION
-9432,16,1013,33.4095171071558,MAIN_CONDITION
R32X,1571,1254,78.1967533853096,MAIN_CONDITION
Z941,12,1169,8.22781682446281,MAIN_CONDITION
S221,31,1289,62.0943091257674,MAIN_CONDITION
S540,45,1252,67.7065265493208,MAIN_CONDITION
-3551,46,1056,44.8431781659069,MAIN_CONDITION
J300,26,1235,82.3891049555986,MAIN_CONDITION
J387,938,1284,73.2737052415962,MAIN_CONDITION
M4195,98,1308,61.9298322596739,MAIN_CONDITION
M4647,58,1353,70.6283975353759,MAIN_CONDITION
N180 D,15,1265,21.4136138272587,MAIN_CONDITION
K052,135,1275,80.2090365996174,MAIN_CONDITION
-72909,12,1009,31.9349480834228,MAIN_CONDITION
C880 D,6,1246,66.4941100148486,MAIN_CONDITION
B451 D,27,1271,72.2324910516917,MAIN_CONDITION
-1588,30,1066,51.5816059168927,MAIN_CONDITION
-9741,40,1075,37.4725112924675,MAIN_CONDITION
I2120,130,1380,27.1877469419702,MAIN_CONDITION
Q232,6,1364,50.3484524753918,MAIN_CONDITION
R309,51,1301,83.437646085647,MAIN_CONDITION
S622,51,1274,79.2844024420198,MAIN_CONDITION
-1736,227,1078,52.4833992106268,MAIN_CONDITION
-8040,15,1034,56.7775945078266,MAIN_CONDITION
M243,6,1232,37.1250140291797,MAIN_CONDITION
E131,9,1393,33.3204141630923,MAIN_CONDITION
-2529,11,1022,37.5852969318388,MAIN_CONDITION
-5939,343,1082,54.4186373964899,MAIN_CONDITION
M2532,18,1311,54.0310973155666,MAIN_CONDITION
-5231,20,1057,56.0312647686895,MAIN_CONDITION
N851,44,1280,78.9408046212453,MAIN_CONDITION
T427,198,1326,89.6926187405352,MAIN_CONDITION
I832,336,1291,81.385145872744,MAIN_CONDITION
S889,8,1297,93.2568457847159,MAIN_CONDITION
-6081,49,1042,46.4158132653996,MAIN_CONDITION
-5768,565,1072,55.4999700038868,MAIN_CONDITION
L708,7,1308,65.374379720265,MAIN_CONDITION
R857,9,1234,95.1236038005289,MAIN_CONDITION
Q313,15,1304,72.9659411741428,MAIN_CONDITION
N930,343,1277,72.8688106839324,MAIN_CONDITION
-3811,211,1016,29.8795921127628,MAIN_CONDITION
N645,288,1263,63.6777020524136,MAIN_CONDITION
-71409,1713,1024,46.0345155450271,MAIN_CONDITION
T881,77,1310,83.8543373801913,MAIN_CONDITION
C059,87,1288,70.8328862982583,MAIN_CONDITION
E042,814,1304,76.6820842325221,MAIN_CONDITION
M5416,592,1326,64.4672784295255,MAIN_CONDITION
I059,441,1270,83.6135119927101,MAIN_CONDITION
M0836,7,1336,43.9426032564347,MAIN_CONDITION
A562,12,1226,33.034417313958,MAIN_CONDITION
-8281,11,1048,49.443080221788,MAIN_CONDITION
I2119,171,1367,21.7456130984274,MAIN_CONDITION
M205,1188,1296,73.7858994534711,MAIN_CONDITION
K830,2958,1342,64.5441843212397,MAIN_CONDITION
-6929,1070,1061,51.6485135053133,MAIN_CONDITION
S497,6,1363,77.4168371006385,MAIN_CONDITION
M0591,13,1269,60.8023278906573,MAIN_CONDITION
-7364,23,1069,47.3235854424673,MAIN_CONDITION
M0649,25,1344,78.6961456065882,MAIN_CONDITION
-7814,9,1075,58.5714188927587,MAIN_CONDITION
M2380,23,1289,73.8507735835795,MAIN_CONDITION
-9916,374,1038,51.763079601204,MAIN_CONDITION
D27541,7,1015,18.6802671542038,MAIN_CONDITION
T174,11,1292,65.0775760849389,MAIN_CONDITION
G527,21,1302,66.061263053247,MAIN_CONDITION
K271,13,1254,84.687812824666,MAIN_CONDITION
M6590,6,1375,69.2521961143962,MAIN_CONDITION
G410,183,1301,81.4350597011981,MAIN_CONDITION
-3760,138,1063,51.5356708271865,MAIN_CONDITION
E243,6,1310,75.4612483331677,MAIN_CONDITION
D110,610,1303,80.1629711159772,MAIN_CONDITION
-2241,9,1084,55.1180551180827,MAIN_CONDITION
-9099,31,1110,28.3898740088171,MAIN_CONDITION
-9181,60,1038,55.0926159088825,MAIN_CONDITION
R828,8,1262,70.7489273013076,MAIN_CONDITION
-3509,6,1051,54.2537249105221,MAIN_CONDITION
K062,187,1253,50.6980449337637,MAIN_CONDITION
C542,7,1236,69.1506292365398,MAIN_CONDITION
S107,6,1380,26.4152733596832,MAIN_CONDITION
E771,9,1256,7.95473304251952,MAIN_CONDITION
C313,27,1289,68.930246752633,MAIN_CONDITION
-3684,42,1054,58.8920201287346,MAIN_CONDITION
D131,906,1221,40.4956288625331,MAIN_CONDITION
S462,91,1335,75.1356347824617,MAIN_CONDITION
-7468,22,1119,25.8609752965737,MAIN_CONDITION
M221,130,1285,79.0922093446006,MAIN_CONDITION
K079,80,1307,82.7155259177396,MAIN_CONDITION
B348,494,1388,44.4718473899142,MAIN_CONDITION
-7225,79,1035,58.2364457124391,MAIN_CONDITION
F171,6,1323,70.975347832892,MAIN_CONDITION
M5338,169,1297,77.2731311588865,MAIN_CONDITION
S5211,12,1324,97.9085457625301,MAIN_CONDITION
-8799,7,1040,40.4716243923125,MAIN_CONDITION
S925,30,1278,76.5108060882642,MAIN_CONDITION
-2939,9,1074,90.2502693132326,MAIN_CONDITION
K072,156,1342,73.1099639727206,MAIN_CONDITION
S1220,256,1332,77.1277896776754,MAIN_CONDITION
-5603,169,1054,53.2946931383322,MAIN_CONDITION
S411,344,1293,73.9624858297955,MAIN_CONDITION
T472,8,1229,62.0892215168738,MAIN_CONDITION
C480 D,12,1378,3.67629589604324,MAIN_CONDITION
D446,11,1270,104.930713070362,MAIN_CONDITION
M8618,16,1350,68.202119957276,MAIN_CONDITION
M7908,21,1232,57.4756263040915,MAIN_CONDITION
Q256,86,1315,72.5454044341488,MAIN_CONDITION
I899,22,1283,71.9782915806885,MAIN_CONDITION
M797,25,1384,17.7165647535472,MAIN_CONDITION
J852,215,1304,78.4111270597007,MAIN_CONDITION
M513,437,1300,90.7106377637014,MAIN_CONDITION
S659,11,1247,74.421038081251,MAIN_CONDITION
K850,67,1397,17.915109637515,MAIN_CONDITION
-8751,6,1088,33.3586570473093,MAIN_CONDITION
I208,250,1324,83.1210754788163,MAIN_CONDITION
I779,453,1258,70.0450968672851,MAIN_CONDITION
-4270,248,1058,59.6143208101668,MAIN_CONDITION
-73399,46,1003,21.5940589432032,MAIN_CONDITION
-71954,9,1074,61.9787149843477,MAIN_CONDITION
M8661,11,1336,68.3590786681891,MAIN_CONDITION
K508,2292,1333,63.7348088263179,MAIN_CONDITION
Q412,20,1315,41.3464184154985,MAIN_CONDITION
-8870,8,1060,51.6691051651897,MAIN_CONDITION
L52X,120,1267,85.7495849350108,MAIN_CONDITION
G570,13,1286,75.0531435649056,MAIN_CONDITION
-2866,24,1089,47.358465720104,MAIN_CONDITION
M532,12,1260,68.2852750443234,MAIN_CONDITION
-1916,113,1066,44.4852370432196,MAIN_CONDITION
M2587,65,1322,69.7881822704632,MAIN_CONDITION
-3599,41,1067,46.2942734698102,MAIN_CONDITION
M6282,47,1317,85.1424773136669,MAIN_CONDITION
-3181,17,1051,44.5911162347255,MAIN_CONDITION
-9463,31,1056,51.1371968651579,MAIN_CONDITION
-2030,1740,1068,56.372643029951,MAIN_CONDITION
M609,61,1296,73.0156282395283,MAIN_CONDITION
G048,78,1361,63.416761567316,MAIN_CONDITION
-7433,15,1091,43.4502452182243,MAIN_CONDITION
M5457,621,1234,69.3007702973384,MAIN_CONDITION
B207,13,1234,29.099960348902,MAIN_CONDITION
-5320,207,1037,54.8348985087135,MAIN_CONDITION
C506,138,1327,68.0093634072158,MAIN_CONDITION
-8203,11,1062,63.4350061086148,MAIN_CONDITION
M6626,10,1354,72.2391091368708,MAIN_CONDITION
S808,185,1341,80.1364443073687,MAIN_CONDITION
-9640,96,1037,51.4385587759549,MAIN_CONDITION
M0887,13,1348,38.6328875441637,MAIN_CONDITION
-2428,26,1134,25.6815108589818,MAIN_CONDITION
S199,454,1296,83.7490273544162,MAIN_CONDITION
-8361,35,1040,53.2217179401813,MAIN_CONDITION
-3911,11,1022,36.3768157934784,MAIN_CONDITION
S936,12,1333,79.6585040829118,MAIN_CONDITION
M753,354,1327,67.0826947187648,MAIN_CONDITION
M7106,14,1269,58.7114381277874,MAIN_CONDITION
-3851,11,1063,46.9783315621539,MAIN_CONDITION
K30X,5059,1250,58.4889735485686,MAIN_CONDITION
-9480,95,1035,19.5048907066454,MAIN_CONDITION
F068,7,1258,107.847776319879,MAIN_CONDITION
K388,111,1321,76.5569114316978,MAIN_CONDITION
-75608,26,1076,54.7996209981274,MAIN_CONDITION
C131,27,1380,55.480059814649,MAIN_CONDITION
I516,126,1241,77.7369373500877,MAIN_CONDITION
-78139,44,996,16.776670099259,MAIN_CONDITION
N459,3543,1300,79.5221170509702,MAIN_CONDITION
-8320,225,1053,53.5097521151848,MAIN_CONDITION
-75038,23,1003,26.5495286277487,MAIN_CONDITION
Q831,94,1282,70.4835571135672,MAIN_CONDITION
G458,109,1334,91.2052812612041,MAIN_CONDITION
M8189,6,1275,16.8364683549369,MAIN_CONDITION
K318 D,62,1319,59.8475853677663,MAIN_CONDITION
-V603,173,1070,57.8196510248001,MAIN_CONDITION
J342,6168,1276,82.4082415734649,MAIN_CONDITION
K712,9,1372,54.2632472305151,MAIN_CONDITION
-V252,20628,1058,52.0928941798965,MAIN_CONDITION
D470,25,1359,58.2408791142441,MAIN_CONDITION
-7836,19,1080,42.7594249382833,MAIN_CONDITION
-72958,6,1149,2.07364413533277,MAIN_CONDITION
-2120,88,1060,54.5301724499291,MAIN_CONDITION
N039,294,1321,32.4029848276173,MAIN_CONDITION
N12X,3807,1338,69.4966580318157,MAIN_CONDITION
Q529,9,1269,53.9606337990947,MAIN_CONDITION
Q453,15,1250,86.8876121369268,MAIN_CONDITION
M2455,29,1276,100.068732536828,MAIN_CONDITION
-6980,36,1038,50.2643409213126,MAIN_CONDITION
N321,561,1307,78.0471282440644,MAIN_CONDITION
-73349,14,992,17.5580669290709,MAIN_CONDITION
T138,12,1315,76.2374679219583,MAIN_CONDITION
M8901,12,1322,51.0478088450317,MAIN_CONDITION
-72786,21,1089,49.2412428762719,MAIN_CONDITION
-71819,18,1000,19.2582212306146,MAIN_CONDITION
-3890,153,1024,52.1942379587258,MAIN_CONDITION
-8125,24,1054,53.9903205227092,MAIN_CONDITION
-1599,23,1057,55.7672322221873,MAIN_CONDITION
I823,16,1268,67.4802440224792,MAIN_CONDITION
C780 D,117,1324,51.0838942321975,MAIN_CONDITION
Z428,125,1297,74.7038082546133,MAIN_CONDITION
M502,258,1292,85.4776230017192,MAIN_CONDITION
J152,601,1283,65.1620897632843,MAIN_CONDITION
-4709,2442,1070,53.3305453297518,MAIN_CONDITION
-9876,12,1072,50.7186983629939,MAIN_CONDITION
M2363,10,1327,74.0186913331119,MAIN_CONDITION
-73017,8,1064,66.1933045815706,MAIN_CONDITION
-2163,2364,1081,50.5896998078543,MAIN_CONDITION
-8054,511,1071,50.0046906206996,MAIN_CONDITION
-2920,22,1064,58.3865496282252,MAIN_CONDITION
A399,26,1275,83.0096287278684,MAIN_CONDITION
C20X,12900,1300,75.1563953052279,MAIN_CONDITION
-7828,15,1014,29.1539428028599,MAIN_CONDITION
I636,19,1301,59.2811223070913,MAIN_CONDITION
-1548,27,1097,58.5229397154177,MAIN_CONDITION
-6254,31,1072,57.8195003753563,MAIN_CONDITION
T285,9,1299,63.4527383175856,MAIN_CONDITION
M8421,7,1258,61.1594325552163,MAIN_CONDITION
A083,687,1369,67.1499379388551,MAIN_CONDITION
M7126,189,1262,65.1805578538841,MAIN_CONDITION
-9618,10,1071,53.8244058645019,MAIN_CONDITION
-4732,7,1091,38.9560191571388,MAIN_CONDITION
K078,40,1315,74.5141528460129,MAIN_CONDITION
L138,8,1267,68.9901649305382,MAIN_CONDITION
-5356,833,1089,50.7378926239771,MAIN_CONDITION
M7960,299,1330,71.1463572998187,MAIN_CONDITION
B349,19497,1323,75.2562035967035,MAIN_CONDITION
J159 D,14,1375,12.2629164915676,MAIN_CONDITION
-5368,797,1081,52.1480778690321,MAIN_CONDITION
H519,8,1259,70.1374925210679,MAIN_CONDITION
-7298,340,1103,34.4816734803255,MAIN_CONDITION
H188,165,1301,88.7461717525838,MAIN_CONDITION
R448,75,1321,65.8102048550459,MAIN_CONDITION
M7667,51,1321,76.0233761779249,MAIN_CONDITION
-3643,308,1040,54.2561823394578,MAIN_CONDITION
-6199,26,1056,57.6281581814363,MAIN_CONDITION
-1745,33,1126,41.953798542219,MAIN_CONDITION
G510,1297,1316,77.4882366062724,MAIN_CONDITION
E320,9,1369,71.0230791910488,MAIN_CONDITION
Q161,12,1209,68.5991319849669,MAIN_CONDITION
-7041,18,1061,66.5135742202712,MAIN_CONDITION
I618,355,1347,72.0867482681897,MAIN_CONDITION
Q433,65,1310,62.2555913460478,MAIN_CONDITION
C432,47,1306,79.8550085259473,MAIN_CONDITION
S2721,21,1299,73.0197950982492,MAIN_CONDITION
Z305,778,1309,73.1977223806957,MAIN_CONDITION
N950,5060,1290,75.7506299379714,MAIN_CONDITION
-V549,2265,1073,45.2625338694739,MAIN_CONDITION
Q280,19,1309,53.3530117205115,MAIN_CONDITION
-7907,30,1078,40.5914463556212,MAIN_CONDITION
M725,68,1258,65.8843717354999,MAIN_CONDITION
S9250,92,1297,74.6771391223649,MAIN_CONDITION
-5741,882,1076,59.2307388414951,MAIN_CONDITION
P390,17,1338,85.2666664750348,MAIN_CONDITION
F323,39,1339,90.2924249164959,MAIN_CONDITION
-3369,117,1063,52.8393639156982,MAIN_CONDITION
-3441,178,1050,58.0351889698263,MAIN_CONDITION
B088,19,1315,79.71161471497,MAIN_CONDITION
-V537,18,1066,63.7281809386674,MAIN_CONDITION
-0031,19,1073,73.3411080408183,MAIN_CONDITION
H906,36,1347,59.5919191283248,MAIN_CONDITION
L730,38,1289,69.8608095925569,MAIN_CONDITION
C845 D,6,1257,9.38971068067546,MAIN_CONDITION
M352,239,1367,61.5742012943721,MAIN_CONDITION
H114,145,1290,75.433848617457,MAIN_CONDITION
R680,135,1297,86.0684835377353,MAIN_CONDITION
G245,19,1301,70.2070038658027,MAIN_CONDITION
-1735,311,1078,50.1535511719371,MAIN_CONDITION
M2321,811,1288,77.544168440283,MAIN_CONDITION
T430,3635,1261,73.0425380211097,MAIN_CONDITION
M7956,45,1283,79.6808849997511,MAIN_CONDITION
H268,123,1354,83.4598461235538,MAIN_CONDITION
-1419,215,1070,52.3583617381552,MAIN_CONDITION
-7320,6,1018,43.9336621130837,MAIN_CONDITION
-4650,9,1061,68.016542105579,MAIN_CONDITION
A281,9,1263,92.1725435136611,MAIN_CONDITION
M2595,42,1299,63.4736998220962,MAIN_CONDITION
N804,27,1313,74.2204692970743,MAIN_CONDITION
I842,758,1285,67.9253043235143,MAIN_CONDITION
C5041,6,1427,1.75119007157728,MAIN_CONDITION
Z411,3453,1263,71.790920311213,MAIN_CONDITION
-5723,24,1075,49.6184718993152,MAIN_CONDITION
T793,842,1313,85.5422938885197,MAIN_CONDITION
-9061,101,1044,56.136867750099,MAIN_CONDITION
M0806,27,1332,76.5356368217041,MAIN_CONDITION
S053,150,1312,76.5901439912442,MAIN_CONDITION
J391,79,1318,78.3876571734582,MAIN_CONDITION
-4640,99,1058,60.1881832129413,MAIN_CONDITION
-2391,49,1091,52.9272700823246,MAIN_CONDITION
-V6661,8,1041,17.7663405670064,MAIN_CONDITION
H211,46,1256,82.5982068093247,MAIN_CONDITION
-72918,13,1093,44.5543459562552,MAIN_CONDITION
L219,45,1282,74.7410343935792,MAIN_CONDITION
-0992,20,1068,55.8285910528594,MAIN_CONDITION
J310,410,1260,80.5981564939457,MAIN_CONDITION
H168,44,1360,73.2501578406407,MAIN_CONDITION
-75478,71,1004,19.0794062395772,MAIN_CONDITION
Z738,37,1272,61.8611615094916,MAIN_CONDITION
Z418,47,1293,88.0578924028457,MAIN_CONDITION
-8732,127,1055,56.5600841549062,MAIN_CONDITION
M6599,11,1295,50.1742418523158,MAIN_CONDITION
-5409,6064,1051,52.0882142346477,MAIN_CONDITION
-4293,90,1057,52.7336321056709,MAIN_CONDITION
-1209,9,1067,65.6006436282793,MAIN_CONDITION
F1024,28,1298,68.414585839246,MAIN_CONDITION
-2321,8,1096,46.0496626325474,MAIN_CONDITION
F29X,84,1327,70.1489072691073,MAIN_CONDITION
-7824,698,1065,53.2559166232582,MAIN_CONDITION
P598,8,1291,56.6655287000584,MAIN_CONDITION
-3485,11,1095,32.0025567160449,MAIN_CONDITION
-5286,50,1074,49.8675961206985,MAIN_CONDITION
M4644,84,1338,60.4581890867838,MAIN_CONDITION
Q245,22,1294,86.2688965434388,MAIN_CONDITION
T210,369,1277,83.4931901706841,MAIN_CONDITION
R12X,501,1230,66.5748074126833,MAIN_CONDITION
D190,18,1235,66.2015391879196,MAIN_CONDITION
-7110,109,1099,35.015204697,MAIN_CONDITION
M206,467,1277,74.9233928816187,MAIN_CONDITION
-8212,280,1059,54.74201176448,MAIN_CONDITION
A413,17,1310,70.1214282932286,MAIN_CONDITION
-8650,81,1041,56.2332553952348,MAIN_CONDITION
N342,200,1236,65.8097438601208,MAIN_CONDITION
I099,59,1244,58.0702933638346,MAIN_CONDITION
R418,1328,1369,48.2750460427798,MAIN_CONDITION
I408,8,1362,65.243363099793,MAIN_CONDITION
D0720,7,1012,30.9892454463372,MAIN_CONDITION
S837,61,1281,84.8416718931068,MAIN_CONDITION
K414,53,1278,65.9663568208875,MAIN_CONDITION
D167,16,1296,83.2654139884422,MAIN_CONDITION
R798,783,1350,53.2427249156963,MAIN_CONDITION
S301,276,1290,80.9591940025597,MAIN_CONDITION
L720,5214,1296,79.1268539363073,MAIN_CONDITION
-25099,39,1000,43.9763615806013,MAIN_CONDITION
F141,21,1382,52.3035553740082,MAIN_CONDITION
